2016-10-17 12:03:14 startup archives unpack
2016-10-17 12:03:15 upgrade init-system-helpers:all 1.29ubuntu2 1.29ubuntu3
2016-10-17 12:03:15 status half-configured init-system-helpers:all 1.29ubuntu2
2016-10-17 12:03:15 status unpacked init-system-helpers:all 1.29ubuntu2
2016-10-17 12:03:15 status half-installed init-system-helpers:all 1.29ubuntu2
2016-10-17 12:03:15 status triggers-pending man-db:amd64 2.7.5-1
2016-10-17 12:03:15 status half-installed init-system-helpers:all 1.29ubuntu2
2016-10-17 12:03:15 status unpacked init-system-helpers:all 1.29ubuntu3
2016-10-17 12:03:15 status unpacked init-system-helpers:all 1.29ubuntu3
2016-10-17 12:03:15 trigproc man-db:amd64 2.7.5-1 <none>
2016-10-17 12:03:15 status half-configured man-db:amd64 2.7.5-1
2016-10-17 12:03:15 status installed man-db:amd64 2.7.5-1
2016-10-17 12:03:15 startup packages configure
2016-10-17 12:03:15 configure init-system-helpers:all 1.29ubuntu3 <none>
2016-10-17 12:03:15 status unpacked init-system-helpers:all 1.29ubuntu3
2016-10-17 12:03:15 status half-configured init-system-helpers:all 1.29ubuntu3
2016-10-17 12:03:15 status installed init-system-helpers:all 1.29ubuntu3
2016-10-17 12:03:16 startup archives unpack
2016-10-17 12:03:16 upgrade init:amd64 1.29ubuntu2 1.29ubuntu3
2016-10-17 12:03:16 status half-configured init:amd64 1.29ubuntu2
2016-10-17 12:03:16 status unpacked init:amd64 1.29ubuntu2
2016-10-17 12:03:16 status half-installed init:amd64 1.29ubuntu2
2016-10-17 12:03:16 status half-installed init:amd64 1.29ubuntu2
2016-10-17 12:03:16 status unpacked init:amd64 1.29ubuntu3
2016-10-17 12:03:16 status unpacked init:amd64 1.29ubuntu3
2016-10-17 12:03:16 startup packages configure
2016-10-17 12:03:16 configure init:amd64 1.29ubuntu3 <none>
2016-10-17 12:03:16 status unpacked init:amd64 1.29ubuntu3
2016-10-17 12:03:16 status half-configured init:amd64 1.29ubuntu3
2016-10-17 12:03:16 status installed init:amd64 1.29ubuntu3
2016-10-17 12:03:16 startup archives unpack
2016-10-17 12:03:16 upgrade libsystemd0:amd64 229-4ubuntu8 229-4ubuntu11
2016-10-17 12:03:16 status triggers-pending libc-bin:amd64 2.23-0ubuntu3
2016-10-17 12:03:16 status half-configured libsystemd0:amd64 229-4ubuntu8
2016-10-17 12:03:16 status unpacked libsystemd0:amd64 229-4ubuntu8
2016-10-17 12:03:16 status half-installed libsystemd0:amd64 229-4ubuntu8
2016-10-17 12:03:16 status half-installed libsystemd0:amd64 229-4ubuntu8
2016-10-17 12:03:16 status unpacked libsystemd0:amd64 229-4ubuntu11
2016-10-17 12:03:16 status unpacked libsystemd0:amd64 229-4ubuntu11
2016-10-17 12:03:16 trigproc libc-bin:amd64 2.23-0ubuntu3 <none>
2016-10-17 12:03:16 status half-configured libc-bin:amd64 2.23-0ubuntu3
2016-10-17 12:03:16 status installed libc-bin:amd64 2.23-0ubuntu3
2016-10-17 12:03:16 startup packages configure
2016-10-17 12:03:16 configure libsystemd0:amd64 229-4ubuntu11 <none>
2016-10-17 12:03:16 status triggers-pending libc-bin:amd64 2.23-0ubuntu3
2016-10-17 12:03:16 status unpacked libsystemd0:amd64 229-4ubuntu11
2016-10-17 12:03:16 status half-configured libsystemd0:amd64 229-4ubuntu11
2016-10-17 12:03:16 status installed libsystemd0:amd64 229-4ubuntu11
2016-10-17 12:03:16 trigproc libc-bin:amd64 2.23-0ubuntu3 <none>
2016-10-17 12:03:16 status half-configured libc-bin:amd64 2.23-0ubuntu3
2016-10-17 12:03:16 status installed libc-bin:amd64 2.23-0ubuntu3
2016-10-17 12:03:16 startup archives unpack
2016-10-17 12:03:16 upgrade libpam-systemd:amd64 229-4ubuntu8 229-4ubuntu11
2016-10-17 12:03:16 status half-configured libpam-systemd:amd64 229-4ubuntu8
2016-10-17 12:03:16 status unpacked libpam-systemd:amd64 229-4ubuntu8
2016-10-17 12:03:16 status half-installed libpam-systemd:amd64 229-4ubuntu8
2016-10-17 12:03:16 status triggers-pending man-db:amd64 2.7.5-1
2016-10-17 12:03:16 status half-installed libpam-systemd:amd64 229-4ubuntu8
2016-10-17 12:03:16 status unpacked libpam-systemd:amd64 229-4ubuntu11
2016-10-17 12:03:16 status unpacked libpam-systemd:amd64 229-4ubuntu11
2016-10-17 12:03:16 upgrade systemd:amd64 229-4ubuntu8 229-4ubuntu11
2016-10-17 12:03:16 status half-configured systemd:amd64 229-4ubuntu8
2016-10-17 12:03:16 status unpacked systemd:amd64 229-4ubuntu8
2016-10-17 12:03:16 status half-installed systemd:amd64 229-4ubuntu8
2016-10-17 12:03:16 status triggers-pending ureadahead:amd64 0.100.0-19
2016-10-17 12:03:16 status triggers-pending dbus:amd64 1.10.6-1ubuntu3
2016-10-17 12:03:17 status triggers-pending dbus:amd64 1.10.6-1ubuntu3
2016-10-17 12:03:17 status half-installed systemd:amd64 229-4ubuntu8
2016-10-17 12:03:17 status unpacked systemd:amd64 229-4ubuntu11
2016-10-17 12:03:17 status unpacked systemd:amd64 229-4ubuntu11
2016-10-17 12:03:17 trigproc man-db:amd64 2.7.5-1 <none>
2016-10-17 12:03:17 status half-configured man-db:amd64 2.7.5-1
2016-10-17 12:03:18 status installed man-db:amd64 2.7.5-1
2016-10-17 12:03:18 trigproc ureadahead:amd64 0.100.0-19 <none>
2016-10-17 12:03:18 status half-configured ureadahead:amd64 0.100.0-19
2016-10-17 12:03:18 status installed ureadahead:amd64 0.100.0-19
2016-10-17 12:03:18 trigproc dbus:amd64 1.10.6-1ubuntu3 <none>
2016-10-17 12:03:18 status half-configured dbus:amd64 1.10.6-1ubuntu3
2016-10-17 12:03:18 status installed dbus:amd64 1.10.6-1ubuntu3
2016-10-17 12:03:18 startup packages configure
2016-10-17 12:03:18 configure systemd:amd64 229-4ubuntu11 <none>
2016-10-17 12:03:18 status unpacked systemd:amd64 229-4ubuntu11
2016-10-17 12:03:18 status unpacked systemd:amd64 229-4ubuntu11
2016-10-17 12:03:18 status unpacked systemd:amd64 229-4ubuntu11
2016-10-17 12:03:18 status unpacked systemd:amd64 229-4ubuntu11
2016-10-17 12:03:18 status unpacked systemd:amd64 229-4ubuntu11
2016-10-17 12:03:18 status unpacked systemd:amd64 229-4ubuntu11
2016-10-17 12:03:18 status unpacked systemd:amd64 229-4ubuntu11
2016-10-17 12:03:18 status unpacked systemd:amd64 229-4ubuntu11
2016-10-17 12:03:18 status unpacked systemd:amd64 229-4ubuntu11
2016-10-17 12:03:18 status unpacked systemd:amd64 229-4ubuntu11
2016-10-17 12:03:18 status unpacked systemd:amd64 229-4ubuntu11
2016-10-17 12:03:18 status unpacked systemd:amd64 229-4ubuntu11
2016-10-17 12:03:18 status unpacked systemd:amd64 229-4ubuntu11
2016-10-17 12:03:18 status unpacked systemd:amd64 229-4ubuntu11
2016-10-17 12:03:18 status unpacked systemd:amd64 229-4ubuntu11
2016-10-17 12:03:18 status unpacked systemd:amd64 229-4ubuntu11
2016-10-17 12:03:18 status unpacked systemd:amd64 229-4ubuntu11
2016-10-17 12:03:18 status half-configured systemd:amd64 229-4ubuntu11
2016-10-17 12:03:19 status installed systemd:amd64 229-4ubuntu11
2016-10-17 12:03:19 startup archives unpack
2016-10-17 12:03:19 upgrade udev:amd64 229-4ubuntu8 229-4ubuntu11
2016-10-17 12:03:19 status half-configured udev:amd64 229-4ubuntu8
2016-10-17 12:03:19 status unpacked udev:amd64 229-4ubuntu8
2016-10-17 12:03:19 status half-installed udev:amd64 229-4ubuntu8
2016-10-17 12:03:19 status triggers-pending systemd:amd64 229-4ubuntu11
2016-10-17 12:03:19 status triggers-pending ureadahead:amd64 0.100.0-19
2016-10-17 12:03:19 status triggers-pending ureadahead:amd64 0.100.0-19
2016-10-17 12:03:19 status triggers-pending man-db:amd64 2.7.5-1
2016-10-17 12:03:19 status half-installed udev:amd64 229-4ubuntu8
2016-10-17 12:03:19 status unpacked udev:amd64 229-4ubuntu11
2016-10-17 12:03:19 status unpacked udev:amd64 229-4ubuntu11
2016-10-17 12:03:19 upgrade libudev1:amd64 229-4ubuntu8 229-4ubuntu11
2016-10-17 12:03:19 status triggers-pending libc-bin:amd64 2.23-0ubuntu3
2016-10-17 12:03:19 status half-configured libudev1:amd64 229-4ubuntu8
2016-10-17 12:03:19 status unpacked libudev1:amd64 229-4ubuntu8
2016-10-17 12:03:19 status half-installed libudev1:amd64 229-4ubuntu8
2016-10-17 12:03:20 status half-installed libudev1:amd64 229-4ubuntu8
2016-10-17 12:03:20 status unpacked libudev1:amd64 229-4ubuntu11
2016-10-17 12:03:20 status unpacked libudev1:amd64 229-4ubuntu11
2016-10-17 12:03:20 trigproc systemd:amd64 229-4ubuntu11 <none>
2016-10-17 12:03:20 status half-configured systemd:amd64 229-4ubuntu11
2016-10-17 12:03:20 status installed systemd:amd64 229-4ubuntu11
2016-10-17 12:03:20 trigproc ureadahead:amd64 0.100.0-19 <none>
2016-10-17 12:03:20 status half-configured ureadahead:amd64 0.100.0-19
2016-10-17 12:03:20 status installed ureadahead:amd64 0.100.0-19
2016-10-17 12:03:20 trigproc man-db:amd64 2.7.5-1 <none>
2016-10-17 12:03:20 status half-configured man-db:amd64 2.7.5-1
2016-10-17 12:03:20 status installed man-db:amd64 2.7.5-1
2016-10-17 12:03:20 trigproc libc-bin:amd64 2.23-0ubuntu3 <none>
2016-10-17 12:03:20 status half-configured libc-bin:amd64 2.23-0ubuntu3
2016-10-17 12:03:20 status installed libc-bin:amd64 2.23-0ubuntu3
2016-10-17 12:03:20 startup packages configure
2016-10-17 12:03:20 configure libudev1:amd64 229-4ubuntu11 <none>
2016-10-17 12:03:20 status triggers-pending libc-bin:amd64 2.23-0ubuntu3
2016-10-17 12:03:20 status unpacked libudev1:amd64 229-4ubuntu11
2016-10-17 12:03:20 status half-configured libudev1:amd64 229-4ubuntu11
2016-10-17 12:03:20 status installed libudev1:amd64 229-4ubuntu11
2016-10-17 12:03:20 trigproc libc-bin:amd64 2.23-0ubuntu3 <none>
2016-10-17 12:03:20 status half-configured libc-bin:amd64 2.23-0ubuntu3
2016-10-17 12:03:20 status installed libc-bin:amd64 2.23-0ubuntu3
2016-10-17 12:03:20 startup archives unpack
2016-10-17 12:03:20 upgrade klibc-utils:amd64 2.0.4-8ubuntu1.16.04.1 2.0.4-8ubuntu1.16.04.2
2016-10-17 12:03:20 status half-configured klibc-utils:amd64 2.0.4-8ubuntu1.16.04.1
2016-10-17 12:03:20 status unpacked klibc-utils:amd64 2.0.4-8ubuntu1.16.04.1
2016-10-17 12:03:20 status half-installed klibc-utils:amd64 2.0.4-8ubuntu1.16.04.1
2016-10-17 12:03:20 status half-installed klibc-utils:amd64 2.0.4-8ubuntu1.16.04.1
2016-10-17 12:03:20 status unpacked klibc-utils:amd64 2.0.4-8ubuntu1.16.04.2
2016-10-17 12:03:20 status unpacked klibc-utils:amd64 2.0.4-8ubuntu1.16.04.2
2016-10-17 12:03:20 upgrade initramfs-tools:all 0.122ubuntu8.1 0.122ubuntu8.3
2016-10-17 12:03:20 status half-configured initramfs-tools:all 0.122ubuntu8.1
2016-10-17 12:03:20 status unpacked initramfs-tools:all 0.122ubuntu8.1
2016-10-17 12:03:20 status half-installed initramfs-tools:all 0.122ubuntu8.1
2016-10-17 12:03:20 status triggers-pending man-db:amd64 2.7.5-1
2016-10-17 12:03:20 status half-installed initramfs-tools:all 0.122ubuntu8.1
2016-10-17 12:03:20 status unpacked initramfs-tools:all 0.122ubuntu8.3
2016-10-17 12:03:20 status unpacked initramfs-tools:all 0.122ubuntu8.3
2016-10-17 12:03:20 upgrade initramfs-tools-core:all 0.122ubuntu8.1 0.122ubuntu8.3
2016-10-17 12:03:20 status half-configured initramfs-tools-core:all 0.122ubuntu8.1
2016-10-17 12:03:20 status unpacked initramfs-tools-core:all 0.122ubuntu8.1
2016-10-17 12:03:20 status half-installed initramfs-tools-core:all 0.122ubuntu8.1
2016-10-17 12:03:21 status half-installed initramfs-tools-core:all 0.122ubuntu8.1
2016-10-17 12:03:21 status unpacked initramfs-tools-core:all 0.122ubuntu8.3
2016-10-17 12:03:21 status unpacked initramfs-tools-core:all 0.122ubuntu8.3
2016-10-17 12:03:21 upgrade initramfs-tools-bin:amd64 0.122ubuntu8.1 0.122ubuntu8.3
2016-10-17 12:03:21 status half-configured initramfs-tools-bin:amd64 0.122ubuntu8.1
2016-10-17 12:03:21 status unpacked initramfs-tools-bin:amd64 0.122ubuntu8.1
2016-10-17 12:03:21 status half-installed initramfs-tools-bin:amd64 0.122ubuntu8.1
2016-10-17 12:03:21 status half-installed initramfs-tools-bin:amd64 0.122ubuntu8.1
2016-10-17 12:03:21 status unpacked initramfs-tools-bin:amd64 0.122ubuntu8.3
2016-10-17 12:03:21 status unpacked initramfs-tools-bin:amd64 0.122ubuntu8.3
2016-10-17 12:03:21 upgrade libklibc:amd64 2.0.4-8ubuntu1.16.04.1 2.0.4-8ubuntu1.16.04.2
2016-10-17 12:03:21 status half-configured libklibc:amd64 2.0.4-8ubuntu1.16.04.1
2016-10-17 12:03:21 status unpacked libklibc:amd64 2.0.4-8ubuntu1.16.04.1
2016-10-17 12:03:21 status half-installed libklibc:amd64 2.0.4-8ubuntu1.16.04.1
2016-10-17 12:03:21 status half-installed libklibc:amd64 2.0.4-8ubuntu1.16.04.1
2016-10-17 12:03:21 status unpacked libklibc:amd64 2.0.4-8ubuntu1.16.04.2
2016-10-17 12:03:21 status unpacked libklibc:amd64 2.0.4-8ubuntu1.16.04.2
2016-10-17 12:03:21 upgrade systemd-sysv:amd64 229-4ubuntu8 229-4ubuntu11
2016-10-17 12:03:21 status half-configured systemd-sysv:amd64 229-4ubuntu8
2016-10-17 12:03:21 status unpacked systemd-sysv:amd64 229-4ubuntu8
2016-10-17 12:03:21 status half-installed systemd-sysv:amd64 229-4ubuntu8
2016-10-17 12:03:21 status half-installed systemd-sysv:amd64 229-4ubuntu8
2016-10-17 12:03:21 status unpacked systemd-sysv:amd64 229-4ubuntu11
2016-10-17 12:03:21 status unpacked systemd-sysv:amd64 229-4ubuntu11
2016-10-17 12:03:21 trigproc man-db:amd64 2.7.5-1 <none>
2016-10-17 12:03:21 status half-configured man-db:amd64 2.7.5-1
2016-10-17 12:03:21 status installed man-db:amd64 2.7.5-1
2016-10-17 12:03:21 startup packages configure
2016-10-17 12:03:21 configure systemd-sysv:amd64 229-4ubuntu11 <none>
2016-10-17 12:03:21 status unpacked systemd-sysv:amd64 229-4ubuntu11
2016-10-17 12:03:21 status half-configured systemd-sysv:amd64 229-4ubuntu11
2016-10-17 12:03:21 status installed systemd-sysv:amd64 229-4ubuntu11
2016-10-17 12:03:21 startup archives unpack
2016-10-17 12:03:21 upgrade ntpdate:amd64 1:4.2.8p4+dfsg-3ubuntu5.1 1:4.2.8p4+dfsg-3ubuntu5.3
2016-10-17 12:03:21 status half-configured ntpdate:amd64 1:4.2.8p4+dfsg-3ubuntu5.1
2016-10-17 12:03:21 status unpacked ntpdate:amd64 1:4.2.8p4+dfsg-3ubuntu5.1
2016-10-17 12:03:21 status half-installed ntpdate:amd64 1:4.2.8p4+dfsg-3ubuntu5.1
2016-10-17 12:03:21 status triggers-pending man-db:amd64 2.7.5-1
2016-10-17 12:03:21 status half-installed ntpdate:amd64 1:4.2.8p4+dfsg-3ubuntu5.1
2016-10-17 12:03:21 status unpacked ntpdate:amd64 1:4.2.8p4+dfsg-3ubuntu5.3
2016-10-17 12:03:21 status unpacked ntpdate:amd64 1:4.2.8p4+dfsg-3ubuntu5.3
2016-10-17 12:03:21 upgrade open-iscsi:amd64 2.0.873+git0.3b4b4500-14ubuntu3 2.0.873+git0.3b4b4500-14ubuntu3.1
2016-10-17 12:03:21 status half-configured open-iscsi:amd64 2.0.873+git0.3b4b4500-14ubuntu3
2016-10-17 12:03:22 status unpacked open-iscsi:amd64 2.0.873+git0.3b4b4500-14ubuntu3
2016-10-17 12:03:22 status half-installed open-iscsi:amd64 2.0.873+git0.3b4b4500-14ubuntu3
2016-10-17 12:03:22 status triggers-pending systemd:amd64 229-4ubuntu11
2016-10-17 12:03:22 status triggers-pending ureadahead:amd64 0.100.0-19
